U Lohmühlenstraße,APP_STADTRAD_STATIONEN_32810739,32810739,53.5572,10.0199
U Meßberg ,APP_STADTRAD_STATIONEN_32810939,32810939,53.547805,9.998774004
U Messehallen ,APP_STADTRAD_STATIONEN_32810967,32810967,53.558518,9.975346007
U Mundsburg ,APP_STADTRAD_STATIONEN_32810772,32810772,53.5696,10.02710001
U Niendorf Markt ,APP_STADTRAD_STATIONEN_32810911,32810911,53.6190722,9.951311304
U Niendorf-Nord ,APP_STADTRAD_STATIONEN_32810891,32810891,53.6408352,9.950095499
U Osterstraße ,APP_STADTRAD_STATIONEN_32810791,32810791,53.5759831,9.952070907
U Rathaus ,APP_STADTRAD_STATIONEN_32810937,32810937,53.550722,9.99714
U Rauhes Haus ,APP_STADTRAD_STATIONEN_32810828,32810828,53.555503,10.066926
U Ritterstraße ,APP_STADTRAD_STATIONEN_32810799,32810799,53.567126,10.04448401
U Rödingsmarkt ,APP_STADTRAD_STATIONEN_32810930,32810930,53.54872,9.987279995
U Saarlandstraße ,APP_STADTRAD_STATIONEN_32810831,32810831,53.588735,10.03267999
U Schlump ,APP_STADTRAD_STATIONEN_32810746,32810746,53.567991,9.969600996
U Sengelmannstraße ,APP_STADTRAD_STATIONEN_32810860,32810860,53.609163,10.022685
U Steinstraße ,APP_STADTRAD_STATIONEN_32810950,32810950,53.548561,10.004368
U St. Pauli ,APP_STADTRAD_STATIONEN_32810959,32810959,53.551,9.970329998
U Trabrennbahn ,APP_STADTRAD_STATIONEN_32810921,32810921,53.598017,10.10145901
U Überseequartier ,APP_STADTRAD_STATIONEN_32810953,32810953,53.540282,9.997945001
U Uhlandstraße ,APP_STADTRAD_STATIONEN_32810758,32810758,53.565,10.0267
U Wandsbek Markt ,APP_STADTRAD_STATIONEN_32810844,32810844,53.571664,10.068644
U Wandsbek Markt ,APP_STADTRAD_STATIONEN_32810847,32810847,53.572433,10.068955
U Wartenau ,APP_STADTRAD_STATIONEN_32810770,32810770,53.5636,10.0341
